シーズン,ゲームタイプ,球団,#,名前,守備位置,試合,打席,打数,打率,出塁率,長打率,OPS,得点,打点,安打,一塁打,二塁打,三塁打,本塁打,塁打,盗塁,盗塁刺,四球,故意四,三振,併殺,死球,犠打,犠飛,PlayerID
2025,公式戦,東北楽天ゴールデンイーグルス,56,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01905138"">鈴木　翔天</a>",投,46,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01905138
2025,クライマックスシリーズファーストステージ,横浜DeNAベイスターズ,59,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01905139"">平良　拳太郎</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01905139
2025,公式戦,横浜DeNAベイスターズ,59,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01905139"">平良　拳太郎</a>",投,12,18,16,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,01905139
2025,公式戦,東北楽天ゴールデンイーグルス,24,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01905151"">黒川　史陽</a>",二,83,343,301,0.299,0.372,0.372,0.744,32,33,90,77,8,1,4,112,1,1,35,2,56,4,2,2,3,01905151
2025,公式戦,東北楽天ゴールデンイーグルス,9,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03005150"">Ｌ．ボイト</a>",指,67,276,243,0.300,0.384,0.498,0.882,29,39,73,51,9,0,13,121,0,0,27,2,59,5,6,0,0,03005150
2025,公式戦,中日ドラゴンズ,95,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03005159"">Ｃ．ロドリゲス</a>",遊,20,34,29,0.207,0.303,0.241,0.544,3,1,6,5,1,0,0,7,0,0,4,0,11,1,0,1,0,03005159
2025,公式戦,北海道日本ハムファイターズ,67,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03105136"">山本　拓実</a>",投,27,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03105136
2025,公式戦,中日ドラゴンズ,31,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03105150"">森　駿太</a>",三,6,22,20,0.200,0.273,0.300,0.573,1,0,4,3,0,1,0,6,0,0,1,0,8,0,1,0,0,03105150
2025,公式戦,読売ジャイアンツ,67,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03105151"">山瀬　慎之助</a>",捕,1,4,4,0.250,0.250,0.250,0.500,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,03105151
2025,公式戦,中日ドラゴンズ,5,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03105157"">村松　開人</a>",遊,54,186,158,0.177,0.249,0.247,0.496,9,10,28,22,3,1,2,39,2,2,13,0,39,1,3,9,3,03105157
2025,公式戦,東京ヤクルトスワローズ,28,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03105159"">松本　健吾</a>",投,23,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,03105159
2025,クライマックスシリーズファーストステージ,横浜DeNAベイスターズ,99,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03205159"">Ｍ．フォード</a>",打,2,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,03205159
2025,クライマックスシリーズファイナルステージ,横浜DeNAベイスターズ,99,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03205159"">Ｍ．フォード</a>",打,2,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,03205159
2025,公式戦,横浜DeNAベイスターズ,99,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03205159"">Ｍ．フォード</a>",打,25,51,46,0.196,0.275,0.217,0.492,1,1,9,8,1,0,0,10,0,0,5,0,13,0,0,0,0,03205159
2025,公式戦,東北楽天ゴールデンイーグルス,36,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03305150"">吉納　翼</a>",右,2,3,3,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,03305150
2025,クライマックスシリーズファーストステージ,読売ジャイアンツ,19,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03305153"">山﨑　伊織</a>",投,1,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,03305153
2025,公式戦,読売ジャイアンツ,19,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03305153"">山﨑　伊織</a>",投,25,49,46,0.130,0.149,0.174,0.323,2,3,6,4,2,0,0,8,0,0,1,0,18,1,0,2,0,03305153
2025,公式戦,阪神タイガース,85,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03505132"">Ｒ．ドリス</a>",投,20,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03505132
2025,日本シリーズ,阪神タイガース,85,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03505132"">Ｒ．ドリス</a>",投,2,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03505132
2025,公式戦,千葉ロッテマリーンズ,99,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03505136"">Ｎ．ソト</a>",一,102,367,330,0.230,0.302,0.391,0.693,31,44,76,49,14,0,13,129,0,0,32,0,98,6,3,0,2,03505136
2025,公式戦,オリックス・バファローズ,52,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03505155"">横山　楓</a>",投,14,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03505155
2025,公式戦,横浜DeNAベイスターズ,62,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03505159"">Ｒ．ウィック</a>",投,40,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03505159
2025,公式戦,読売ジャイアンツ,29,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03705157"">Ｆ．グリフィン</a>",投,14,23,19,0.158,0.200,0.158,0.358,0,0,3,3,0,0,0,3,0,0,1,0,6,0,0,3,0,03705157
2025,公式戦,千葉ロッテマリーンズ,42,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03905150"">Ｂ．サモンズ</a>",投,16,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03905150
2025,公式戦,阪神タイガース,99,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=03905157"">Ｊ．ビーズリー</a>",投,8,12,9,0.111,0.111,0.111,0.222,0,1,1,1,0,0,0,1,0,0,0,0,5,0,0,3,0,03905157
2025,クライマックスシリーズファーストステージ,読売ジャイアンツ,52,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015136"">リチャード</a>",一,2,7,6,0.167,0.286,0.167,0.453,0,0,1,1,0,0,0,1,0,0,1,0,3,0,0,0,0,11015136
2025,公式戦,福岡ソフトバンクホークス,52,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015136"">リチャード</a>",三,6,22,22,0.091,0.091,0.182,0.273,1,0,2,0,2,0,0,4,0,0,0,0,12,1,0,0,0,11015136
2025,公式戦,読売ジャイアンツ,52,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015136"">リチャード</a>",一,77,253,232,0.211,0.269,0.384,0.653,17,39,49,31,7,0,11,89,1,0,13,0,90,4,6,0,2,11015136
2025,公式戦,東北楽天ゴールデンイーグルス,8,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015138"">辰己　涼介</a>",中,114,422,367,0.240,0.325,0.341,0.666,36,32,88,67,12,2,7,125,20,0,40,0,91,12,9,1,5,11015138
2025,公式戦,広島東洋カープ,10,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015150"">佐々木　泰</a>",三,54,187,181,0.271,0.294,0.293,0.587,11,6,49,46,2,1,0,53,2,0,5,3,23,6,1,0,0,11015150
2025,クライマックスシリーズファーストステージ,横浜DeNAベイスターズ,20,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015151"">坂本　裕哉</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11015151
2025,クライマックスシリーズファイナルステージ,横浜DeNAベイスターズ,20,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015151"">坂本　裕哉</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11015151
2025,公式戦,横浜DeNAベイスターズ,20,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015151"">坂本　裕哉</a>",投,35,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11015151
2025,公式戦,中日ドラゴンズ,70,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015153"">近藤　廉</a>",投,16,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11015153
2025,クライマックスシリーズファイナルステージ,北海道日本ハムファイターズ,33,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015159"">進藤　勇也</a>",捕,3,7,7,0.143,0.143,0.143,0.286,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,11015159
2025,公式戦,北海道日本ハムファイターズ,33,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=11015159"">進藤　勇也</a>",捕,13,31,26,0.077,0.143,0.077,0.220,3,0,2,2,0,0,0,2,0,0,2,0,8,1,0,3,0,11015159
